['price', 'hours', 'minute', 'seconds']
112.05, 9, 26, 12
114.2, 9, 26, 13
115.35, 9, 26, 14
116.3, 9, 26, 15
116.45, 9, 26, 16
116.25, 9, 26, 17
117.0, 9, 26, 18
116.2, 9, 26, 20
116.0, 9, 26, 21
116.2, 9, 26, 22
116.35, 9, 26, 23
115.45, 9, 26, 24
115.05, 9, 26, 25
115.7, 9, 26, 26
112.25, 9, 26, 27
113.6, 9, 26, 28
114.15, 9, 26, 29
113.8, 9, 26, 30
113.65, 9, 26, 31
114.65, 9, 26, 32
115.15, 9, 26, 33
113.8, 9, 26, 34
115.05, 9, 26, 35
114.0, 9, 26, 37
113.7, 9, 26, 38
113.1, 9, 26, 39
113.25, 9, 26, 40
114.0, 9, 26, 41
114.5, 9, 26, 42
114.1, 9, 26, 43
114.35, 9, 26, 44
114.55, 9, 26, 45
115.15, 9, 26, 46
115.3, 9, 26, 47
116.2, 9, 26, 48
116.5, 9, 26, 49
116.1, 9, 26, 50
115.85, 9, 26, 51
116.15, 9, 26, 52
116.35, 9, 26, 53
115.85, 9, 26, 54
115.95, 9, 26, 56
116.65, 9, 26, 57
116.95, 9, 26, 58
116.45, 9, 26, 59
116.2, 9, 27, 0
115.75, 9, 27, 1
115.7, 9, 27, 2
116.7, 9, 27, 3
116.3, 9, 27, 4
114.95, 9, 27, 5
113.3, 9, 27, 6
113.7, 9, 27, 7
113.4, 9, 27, 8
113.15, 9, 27, 9
112.75, 9, 27, 10
114.6, 9, 27, 11
115.95, 9, 27, 13
116.2, 9, 27, 14
115.85, 9, 27, 15
115.55, 9, 27, 16
115.45, 9, 27, 17
115.25, 9, 27, 18
116.2, 9, 27, 19
116.05, 9, 27, 20
116.0, 9, 27, 21
115.35, 9, 27, 22
115.3, 9, 27, 23
115.45, 9, 27, 24
116.05, 9, 27, 25
115.8, 9, 27, 26
116.35, 9, 27, 27
116.1, 9, 27, 28
116.45, 9, 27, 29
117.0, 9, 27, 30
117.75, 9, 27, 31
119.95, 9, 27, 33
120.15, 9, 27, 34
121.3, 9, 27, 35
122.6, 9, 27, 36
122.7, 9, 27, 37
123.25, 9, 27, 38
123.25, 9, 27, 39
122.55, 9, 27, 40
122.1, 9, 27, 41
121.9, 9, 27, 42
121.35, 9, 27, 43
121.7, 9, 27, 44
121.75, 9, 27, 45
121.1, 9, 27, 46
121.5, 9, 27, 47
122.0, 9, 27, 48
120.55, 9, 27, 49
121.4, 9, 27, 50
121.0, 9, 27, 51
120.75, 9, 27, 53
121.55, 9, 27, 54
120.45, 9, 27, 55
120.0, 9, 27, 56
119.5, 9, 27, 57
119.05, 9, 27, 58
118.55, 9, 27, 59
119.3, 9, 28, 0
119.35, 9, 28, 1
118.8, 9, 28, 2
119.25, 9, 28, 3
117.6, 9, 28, 4
115.85, 9, 28, 5
116.45, 9, 28, 6
116.3, 9, 28, 7
117.35, 9, 28, 8
117.9, 9, 28, 9
117.1, 9, 28, 10
117.2, 9, 28, 11
118.3, 9, 28, 13
118.4, 9, 28, 14
117.05, 9, 28, 15
115.8, 9, 28, 16
117.4, 9, 28, 17
116.75, 9, 28, 18
115.75, 9, 28, 19
115.1, 9, 28, 20
115.05, 9, 28, 21
115.5, 9, 28, 22
116.05, 9, 28, 23
115.35, 9, 28, 24
115.15, 9, 28, 25
114.65, 9, 28, 26
114.65, 9, 28, 27
115.6, 9, 28, 28
115.1, 9, 28, 29
115.2, 9, 28, 30
116.1, 9, 28, 32
117.15, 9, 28, 33
117.3, 9, 28, 34
117.75, 9, 28, 35
116.6, 9, 28, 36
116.75, 9, 28, 37
117.4, 9, 28, 38
117.6, 9, 28, 39
119.65, 9, 28, 40
120.2, 9, 28, 41
121.0, 9, 28, 42
120.75, 9, 28, 43
119.65, 9, 28, 44
119.5, 9, 28, 45
121.0, 9, 28, 46
121.25, 9, 28, 47
121.3, 9, 28, 48
121.45, 9, 28, 49
121.9, 9, 28, 50
122.2, 9, 28, 51
122.0, 9, 28, 53
122.55, 9, 28, 54
121.85, 9, 28, 55
121.3, 9, 28, 56
120.65, 9, 28, 57
120.0, 9, 28, 58
119.6, 9, 28, 59
119.6, 9, 29, 0
119.75, 9, 29, 1
118.75, 9, 29, 2
120.5, 9, 29, 3
121.5, 9, 29, 4
120.65, 9, 29, 5
120.2, 9, 29, 6
120.45, 9, 29, 7
121.15, 9, 29, 8
121.4, 9, 29, 9
122.4, 9, 29, 11
123.05, 9, 29, 12
124.0, 9, 29, 13
124.45, 9, 29, 14
125.0, 9, 29, 15
127.55, 9, 29, 16
126.95, 9, 29, 17
128.1, 9, 29, 18
129.35, 9, 29, 19
129.45, 9, 29, 20
128.95, 9, 29, 21
128.25, 9, 29, 22
127.85, 9, 29, 23
125.75, 9, 29, 24
125.35, 9, 29, 25
125.05, 9, 29, 26
124.55, 9, 29, 27
126.1, 9, 29, 28
127.3, 9, 29, 30
127.0, 9, 29, 31
128.2, 9, 29, 32
127.85, 9, 29, 33
126.8, 9, 29, 34
126.5, 9, 29, 35
126.55, 9, 29, 36
126.8, 9, 29, 37
125.85, 9, 29, 38
125.15, 9, 29, 39
126.0, 9, 29, 40
126.45, 9, 29, 41
126.7, 9, 29, 42
127.4, 9, 29, 43
126.85, 9, 29, 44
126.1, 9, 29, 45
124.65, 9, 29, 46
125.1, 9, 29, 47
124.9, 9, 29, 49
